STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T21:00:00,21.9,48,34.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T22:00:00,21,46.9,33.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-09T23:00:00,19.9,46.9,33.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T00:00:00,18,44.1,31.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T01:00:00,19,45,32.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T02:00:00,18,44.1,32.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T03:00:00,18,44.1,32
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T04:00:00,18,44.1,31.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T05:00:00,17.1,44.1,31.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T06:00:00,17.1,44.1,31.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T07:00:00,17.1,44.1,31.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T08:00:00,17.1,44.1,31.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T09:00:00,17.1,45,32
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-10T10:00:00,18,46,33
